,Movie,MovieCode,Year,Code 1,Crew 1_name,Code2,Crew 2_name,Tie strength
58,Beetlejuice_1988,21001308,1988,30114716,"Burton, Tim (I)",30775989,"Sidney, Sylvia (I)",2
59,Beetlejuice_1988,21001308,1988,30114716,"Burton, Tim (I)",30783008,"Skaaren, Warren",2
60,Beetlejuice_1988,21001308,1988,30114716,"Burton, Tim (I)",30895051,"Welch, Bo",3
61,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30266601,"Filpi, Carmen",2
62,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30356721,"Hashimoto, Richard",2
63,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30420536,"Jones, Jeffrey (I)",2
64,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30435271,"Keaton, Michael",3
65,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30552643,"McDowell, Michael (I)",2
66,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30627117,"O'Hara, Catherine (I)",2
67,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30734668,"Ryder, Winona",2
68,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30764994,"Shadix, Glenn",2
69,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30775989,"Sidney, Sylvia (I)",2
70,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30783008,"Skaaren, Warren",2
71,Beetlejuice_1988,21001308,1988,30243631,"Elfman, Danny",30895051,"Welch, Bo",3
72,Beetlejuice_1988,21001308,1988,30266601,"Filpi, Carmen",30420536,"Jones, Jeffrey (I)",2
73,Beetlejuice_1988,21001308,1988,30356721,"Hashimoto, Richard",30734668,"Ryder, Winona",2
74,Beetlejuice_1988,21001308,1988,30356721,"Hashimoto, Richard",30895051,"Welch, Bo",2
75,Beetlejuice_1988,21001308,1988,30435271,"Keaton, Michael",30783008,"Skaaren, Warren",2
76,Beetlejuice_1988,21001308,1988,30435271,"Keaton, Michael",30895051,"Welch, Bo",2
77,Beetlejuice_1988,21001308,1988,30552643,"McDowell, Michael (I)",30627117,"O'Hara, Catherine (I)",2
78,Beetlejuice_1988,21001308,1988,30734668,"Ryder, Winona",30895051,"Welch, Bo",2
79,Planet of the Apes_2001,21001876,2001,30083861,"Bonham Carter, Helena",30114716,"Burton, Tim (I)",4
80,Planet of the Apes_2001,21001876,2001,30083861,"Bonham Carter, Helena",30243631,"Elfman, Danny",4
81,Planet of the Apes_2001,21001876,2001,30083861,"Bonham Carter, Helena",30282593,"Frauenfelder, Katterli",3
82,Planet of the Apes_2001,21001876,2001,30083861,"Bonham Carter, Helena",30481927,"Lebenzon, Chris",4
83,Planet of the Apes_2001,21001876,2001,30083861,"Bonham Carter, Helena",30727445,"Rousselot, Philippe",3
84,Planet of the Apes_2001,21001876,2001,30083861,"Bonham Carter, Helena",30728300,"Roy, Deep",3
85,Planet of the Apes_2001,21001876,2001,30083861,"Bonham Carter, Helena",30932653,"Zanuck, Richard D.",3
86,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30243631,"Elfman, Danny",12
87,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30282593,"Frauenfelder, Katterli",3
88,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30304562,"Giamatti, Paul",2
89,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30329866,"Grevioux, Kevin",2
90,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30363542,"Heinrichs, Rick",2
91,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30481927,"Lebenzon, Chris",8
92,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30530473,"Marie, Lisa (I)",4
93,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30727445,"Rousselot, Philippe",3
94,Planet of the Apes_2001,21001876,2001,30114716,"Burton, Tim (I)",30728300,"Roy, Deep",3
